expression,reading
踏む,ふむ
~区,~く
すっと,すっと
盗む,ぬすむ
大抵,たいてい
とうとう,とうとう
ガソリン,ガソリン
鳴る,なる
しっかり,しっかり
生きる,いきる
苦い,にがい
沸く,わく
意見,いけん
やはり; やっぱり,やはり; やっぱり
漫画,まんが
ステレオ,ステレオ
医学,いがく
テキスト,テキスト
~月,~つき
折る,おる
~会,~かい
うかがう,うかがう
聞こえる,きこえる
僕,ぼく
必ず,かならず
壊す,こわす
怒る,おこる
床屋,とこや
オートバイ,オートバイ
運動,うんどうする
止む,やむ
もし,もし
表,おもて
大学生,だいがくせい
運転手,うんてんしゅ
予習,よしゅう
心配,しんぱいする
別,べつ
非常に,ひじょうに
お宅,おたく
柔らかい,やわらかい
拾う,ひろう
~ございます,~ございます
気,き
比べる,くらべる
ほとんど,ほとんど
つもり,つもり
郊外,こうがい
だめ,だめ
売り場,うりば
正月,しょうがつ
規則,きそく
うん,うん
発音,はつおん
焼く,やく
屋上,おくじょう
失礼,しつれい
ごみ,ごみ
アフリカ,アフリカ
点,てん
一生懸命,いっしょうけんめい
今度,こんど
機会,きかい
建てる,たてる
複雑,ふくざつ
彼,かれ
いらっしゃる,いらっしゃる
布団,ふとん
大事,だいじ
贈り物,おくりもの
泥棒,どろぼう
~製,~せい
注意,ちゅうい
台風,たいふう
日,ひ
~軒,~けん
そう,そう
通る,とおる
過ぎる,すぎる
レポート; リポート,レポート; リポート
葉,は
必要,ひつよう
課長,かちょう
地震,じしん
すると,すると
止める,やめる
ガラス,ガラス
~学部,~がくぶ
厳しい,きびしい
エスカレーター,エスカレーター
人口,じんこう
月,つき
絹,きぬ
ちっとも,ちっとも
深い,ふかい
壊れる,こわれる
揺れる,ゆれる
落る,おちる
できるだけ,できるだけ
悲しい,かなしい
中学校,ちゅうがっこう
ガス,ガス
祈る,いのる
盛ん,さかん
アルバイト,アルバイト
起こす,おこす
致す,いたす
噛む,かむ
赤ちゃん,あかちゃん
浅い,あさい
うそ,嘘
小説,しょうせつ
親,おや
それに,それに
西洋,せいよう
思う,おもう
パート (タイム),パート (タイム)
時代,じだい
申し上げる,もうしあげる
~式,~しき
出席,しゅっせきする
~家,~か
迎える,むかえる
触る,さわる
建て,~だて
社長,しゃちょう
動物園,どうぶつえん
捕まえる,つかまえる
季節,きせつ
寄る,よる
決まる,きまる
開く,ひらく
逃げる,にげる
だから,だから
残念,ざんねん
畳,たたみ
丁寧,ていねい
地理,ちり
さっき,さっき
怖い,こわい
包む,つつむ
なるべく,なるべく
無理,むり
サンドイッチ,サンドイッチ
会議室,かいぎしつ
品物,しなもの
人形,にんぎょう
利用,りよう
飾る,かざる
止める,とめる
恥ずかしい,はずかしい
いくら~ても,いくら~ても
用事,ようじ
ビル,ビル
けんかする,けんかする
頑張る,がんばる
投げる,なげる
故障,こしょうする
力,ちから
受ける,うける
気分,きぶん
間違える,まちがえる
そんな,そんな
星,ほし
場合,ばあい
やっと,やっと
足りる,たりる
行う,おこなう
ぶどう,ぶどう
無くなる,なくなる
準備,じゅんびする
世界,せかい
住所,じゅうしょ
再来月,さらいげつ
林,はやし
倍,ばい
痩せる,やせる
線,せん
戦争,せんそう
決める,きめる
調べる,しらべる
寝坊,ねぼう
パパ,パパ
光る,ひかる
夫,おっと
雲,くも
坂,さか
~(て) しまう,~(て) しまう
飛行場,ひこうじょう
柔道,じゅうどう
決して,けっして
事務所,じむしょ
連絡,れんらく
小学校,しょうがっこう
客,きゃく
昔,むかし
美しい,うつくしい
捨てる,すてる
なさる,なさる
事,こと
どんどん,どんどん
試合,しあい
適当,てきとう
素晴らしい,すばらしい
美術館,びじゅつかん
文法,ぶんぽう
終わり,おわり
壁,かべ
一度,いちど
お礼,おれい
親切,しんせつ
知らせる,しらせる
歯医者,はいしゃ
熱心,ねっしん
始める,はじめる
もらう,もらう
泣く,なく
治る,なおる
熱,ねつ
お祭り,おまつり
水道,すいどう
匂い,におい
ベル,ベル
赤ん坊,あかんぼう
おかしい,おかしい
事故,じこ
変,へん
辞典,じてん
残る,のこる
立てる,たてる
くれる,くれる
~員,~いん
原因,げんいん
驚く,おどろく
いただく,頂く
祖母,そぼ
場所,ばしょ
答,こたえ
もちろん,もちろん
漬ける,つける
受付,うけつけ
内,うち
スクリーン,スクリーン
増える,ふえる
または,または
けがする,けがする
以下,いか
選ぶ,えらぶ
~ばかり,~ばかり
